Designation,B-C2,B-C2,B-C2,B-C2,B-C2,B-low,B-low,B-low,B-low,B-low,B-high,B-high,B-high,B-high,B-high,B-C1,B-C1,B-C1,B-C1,B-C1,C-C2,C-C2,C-C2,C-C2,C-C2,C-C1,C-C1,C-C1,C-C1,C-C1,C-high,C-high,C-high,C-high,C-high,C-low,C-low,C-low,C-low,C-low,D-low,D-low,D-low,D-low,D-low,D-high,D-high,D-high,D-high,D-high,D-C2,D-C2,D-C2,D-C2,D-C2,D-C1,D-C1,D-C1,D-C1,D-C1,E-C2,E-C2,E-C2,E-C2,E-C2,E-high,E-high,E-high,E-high,E-high,E-C1,E-C1,E-C1,E-C1,E-C1,E-low,E-low,E-low,E-low,E-low,A-low,A-low,A-low,A-low,A-low,A-high,A-high,A-high,A-high,A-high,A-C1,A-C1,A-C1,A-C1,A-C1,A-C2,A-C2,A-C2,A-C2,A-C2,F-low,F-low,F-low,F-low,F-low,F-C1,F-C1,F-C1,F-C1,F-C1,F-high,F-high,F-high,F-high,F-high,F-C2,F-C2,F-C2,F-C2,F-C2,H-high,H-high,H-high,H-high,H-high,H-low,H-low,H-low,H-low,H-low,H-C2,H-C2,H-C2,H-C2,H-C2,H-C1,H-C1,H-C1,H-C1,H-C1,G-C2,G-C2,G-C2,G-C2,G-C2,G-C1,G-C1,G-C1,G-C1,G-C1,G-high,G-high,G-high,G-high,G-high,G-low,G-low,G-low,G-low,G-low
Plot,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Treatment,control,control,control,control,control,low,low,low,low,low,high,high,high,high,high,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,high,high,high,high,high,control,control,control,control,control,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,control,control,control,control,control,control,control,control,control,control,low,low,low,low,low,control,control,control,control,control,high,high,high,high,high,control,control,control,control,control,high,high,high,high,high,low,low,low,low,low,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,high,high,high,high,high,low,low,low,low,low
Quadrat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
Observer,JDIB,KRCD,MGZS,JDIB,MGZS,KRCD,JDIB,MGZS,JDIB,MGZS,MGZS,MGZS,JDIB,JDIB,KRCD,KRCD,MGZS,MGZS,JDIB,JDIB,KRCD,MGZS,MGZS,JDIB,KRCD,KRCD,MGZS,MGZS,JDIB,JDIB,KRCD,MGZS,KRCD,MGZS,JDIB,KRCD,KRCD,MGZS,MGZS,JDIB,JDIB,JDIB,MGZS,MGZS,KRCD,MGZS,MGZS,JDIB,KRCD,KRCD,MGZS,JDIB,KRCD,MGZS,JDIB,KRCD,MGZS,MGZS,KRCD,JDIB,KRCD,JDIB,JDIB,MGZS,MGZS,JDIB,KRCD,MGZS,JDIB,MGZS,JDIB,KRCD,KRCD,MGZS,JDIB,KRCD,MGZS,MGZS,JDIB,JDIB,JDIB,MGZS,KRCD,KRCD,MGZS,JDIB,KRCD,MGZS,KRCD,MGZS,JDIB,KRCD,MGZS,MGZS,KRCD,KRCD,MGZS,JDIB,KRCD,MGZS,KACD,KACD,JDIB,JDIB,MGZS,MGZS,JDIB,MGZS,JDIB,KACD,KACD,JDIB,MGZS,MGZS,MGZS,MGZS,MGZS,MGZS,KACD,JDCD,KACD,MGZS,MGZS,JDCD,KACD,MGZS,MGZS,KACD,JDIB,MGZS,JDIB,KACD,JDIB,MGZS,MGZS,JDIB,KACD,MGZS,MGZS,KACD,KACD,JDIB,KACD,MGZS,MGZS,JDIB,JDIB,KACD,MGZS,MGZS,KACD,JDIB,JDIB,MGZS,MGZS,JDIB,KACD,MGZS,MGZS,KACD
Acer_saccharinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_millefolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Agrimonia_parviflora,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
Aletris_farinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Amphicarpaea_bracteata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon_gerardi,,,,,,,,,,,,,,,,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
